,title,Rate,No_of_Ratings,Format,ReleaseYear,Directed_By,Starring,Price
57,Smile,4.1,7864,Prime Video,2022.0,Parker Finn,"Sosie Bacon,Kyle Gallner,Jessie T. Usher",3.89
58,Love & Murder: Atlanta Playboy Part One,4.2,8,Prime Video,2023.0,Jaira Thomas,"Taye Diggs,Keesha Sharp,Rob Brown,Ciera Payton",3.89
59,Tales of Halloween,4.0,1307,Prime Video,2015.0,"Darren Lynn Bousman,Axelle Carolyn,Adam Gierasch","Lin Shaye,Pat Healy,Barry Bostwick,Joe Dante",3.89
60,The Addams Family 2,4.6,1696,Prime Video,2021.0,"Greg Tiernan,Conrad Vernon,Laura Brousseau","Oscar Isaac,Charlize Theron,ChloÃ« Grace Moretz",3.09
61,The Bourne Supremacy,4.8,9687,Prime Video,2004.0,Paul Greengrass,"Matt Damon,Franka Potente,Brian Cox,Julia Stiles",3.99
62,Knock at the Cabin,4.0,7976,Prime Video,2023.0,M. Night Shyamalan,"Dave Bautista,Jonathan Groff,Ben Aldridge",5.99
63,The Blackening,4.3,2125,Prime Video,2023.0,Tim Story,"Sinqua Walls,Jay Pharoah,James Preston Rogers",5.99
64,Harlem Nights,4.8,7235,Prime Video,1989.0,Eddie Murphy,"Eddie Murphy,Richard Pryor,Redd Foxx,Danny Aiello",5.99
65,Godzilla vs. Kong,4.6,40533,Prime Video,2021.0,Adam Wingard,"Alexander SkarsgÃ¥rd,Millie Bobby Brown,Rebecca Hall",3.99
66,The Black Phone,4.4,33531,Prime Video,2022.0,Scott Derrickson,"Ethan Hawke,Mason Thames,Madeleine McGraw",4.29
67,Transformers: Rise of the Beasts,4.5,12062,Prime Video,2023.0,Steven Caple,"Anthony Ramos,Dominique Fishback",5.99
68,Suicide Squad (2016),4.5,42476,Prime Video,2016.0,David Ayer,"Will Smith,Jared Leto,Margot Robbie,Joel Kinnaman",3.79
69,Air,4.7,1332,Prime Video,2023.0,Ben Affleck,"Matt Damon,Ben Affleck,Viola Davis",3.79
70,Red Sparrow,4.4,15554,Prime Video,2018.0,Francis Lawrence,"Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts",3.79
71,The Bourne Identity,4.8,13372,Prime Video,2002.0,Doug Liman,"Matt Damon,Franka Potente,Chris Cooper,Clive Owen",3.59
72,Nope,4.1,24433,Prime Video,2022.0,Jordan Peele,"Daniel Kaluuya,Keke Palmer,Steven Yeun",3.99
