,title,Rate,No_of_Ratings,Format,ReleaseYear,Directed_By,Starring,Price
488,Lila and Eve,4.5,937,Prime Video,2015.0,Charles Stone III,"Viola Davis,Jennifer Lopez,Shea Whigham",3.99
489,All Nighter,4.3,238,Prime Video,2017.0,Gavin Wiesen,"J.K. Simmons,Emile Hirsch,Analeigh Tipton",3.99
490,MORGAN,4.2,1856,Prime Video,2016.0,Luke Scott,"Kate Mara,Anya Taylor-Joy,Toby Jones,Rose Leslie",3.99
492,K-19: The Widowmaker,4.6,284,Prime Video,2002.0,Kathryn Bigelow,"Harrison Ford,Liam Neeson",3.99
493,The Mummy (1932),4.7,1425,Prime Video,1932.0,Karl Freund,"Boris Karloff,Bramwell Fletcher,Zita Johann",3.99
494,Tracks,4.5,948,Prime Video,2013.0,John Curran,"Mia Wasikowska,Adam Driver,Rainer Bock,Rolley Mintuma",3.99
495,Inglourious Basterds,4.7,22499,Prime Video,2009.0,Quentin Tarantino,"Bo Svenson,Michael Madsen,Tim Roth,Brad Pitt",4.29
496,Wicker Park,4.5,2,Prime Video,2004.0,Paul McGuigan,"Rose Byrne,Josh Harnett,Matthew Lillard",4.29
497,Sapta Sagaradaache Ello - Side A,4.7,16,Prime Video,2023.0,Hemanth M Rao,"Rakshit Shetty,Rukmini Vasanth,Chaithra J. Achar",4.29
498,Escape from Pretoria,4.3,2062,Prime Video,2020.0,Francis Annan,"Daniel Radcliffe,Daniel Webber,Ian Hart",4.29
499,The Silencing,4.2,22080,Prime Video,2020.0,Robin Pront,"Nikolaj Coster-Waldau,Annabelle Wallis",3.99
500,Get The Gringo,4.5,1355,Prime Video,2012.0,Adrian GrÃ¼nberg,"Mel Gibson,Kevin Balmore,Daniel Gimenez Cacho",3.99
501,Death and Back 1,4.3,94,Prime Video,2022.0,Craig McMahon,Craig McMahon,3.99
502,Legally Blonde,4.8,17794,Prime Video,2001.0,Robert Luketic,"Reese Witherspoon,Luke Wilson,Selma Blair",3.49
503,The Last Witch Hunter,4.6,17180,Prime Video,2015.0,Breck Eisner,"Vin Diesel,Elijah Wood,Rose Leslie",3.49
505,Desperado,4.7,3555,Prime Video,1995.0,Robert Rodriguez,"Antonio Banderas,Salma Hayek,Cheech Marin",3.59
506,Blippi - Explore With Blippi and Learn About Vehicles,4.1,91,Prime Video,2014.0,Stevin John,Stevin John,0.99
507,Apocalypto,4.6,7977,Prime Video,2006.0,Mel Gibson,"Rudy Youngblood,Gerardo Taracena,Raoul Max Trujillo",12.99
508,Hell House LLC,4.2,2398,Prime Video,2016.0,Stephen Cognetti,"Kristin Michelle Taylor,Jeb Kreager",1.99
509,The Wolf of Wall Street,4.7,84154,Prime Video,2013.0,Martin Scorsese,"Leonardo DiCaprio,Jonah Hill,Margot Robbie",3.69
510,The Secret Life of the Cruise,4.6,190,Prime Video,2018.0,Ben Ryder,Jason Done,3.69
511,Spider-Man: No Way Home,4.7,72001,Prime Video,2021.0,Jon Watts,"Tom Holland,Zendaya,Jamie Foxx,Benedict Cumberbatch",12.99
512,Alpha,4.5,9295,Prime Video,2018.0,Albert Hughes,"Kodi Smit-McPhee,JÃ³hannes Haukur JÃ³hannesson",3.89
513,The Wolf of Wall Street,4.7,84154,Prime Video,2013.0,Martin Scorsese,"Leonardo DiCaprio,Jonah Hill,Margot Robbie",3.69
514,The Secret Life of the Cruise,4.6,190,Prime Video,2018.0,Ben Ryder,Jason Done,3.69
515,Young Guns,4.7,4154,Prime Video,1988.0,Christopher Cain,"Terry O'quinn,Sharon Thomas,Alice Carter,Tom Callaway",3.69
516,American Renegades,4.1,871,Prime Video,2018.0,Steven Quale,"Sullivan Stapleton,Charlie Bewley,Joshua Henry",2.99
517,Blackbear,4.0,160,Prime Video,2023.0,J.M. Berrios,"Scott Pryor,Darrin Henson,Eric Roberts,Lorynn York",2.99
518,SuperFly,4.7,6865,Prime Video,2018.0,"Director X.,Director X. X","Trevor Jackson,Jason Mitchell",3.59
519,Boondock Saints,4.7,10281,Prime Video,2000.0,Troy Duffy,"Willem Dafoe,Norman Reedus,Sean Patrick Flanery",2.99
520,Storming Juno,4.1,748,Prime Video,2010.0,Tim Wolochatiuk,"Benjamin Muir,Kevin Walker,Craig Cyr",2.99
521,Escape from New York,4.7,7014,Prime Video,1981.0,John Carpenter,"Kurt Russell,Lee Van Cleef,Ernest Borgnine",2.99
522,Harry Potter and the Chamber of Secrets,4.8,65182,Prime Video,2002.0,Chris Columbus,"Daniel Radcliffe,Emma Watson,Rupert Grint",3.79
523,I Love You Phillip Morris,4.4,1527,Prime Video,2011.0,"John Requa,Glenn Ficarra","Jim Carrey,Ewan McGregor,Leslie Mann,Rodrigo Santoro",3.99
524,In the Electric Mist,4.2,1915,Prime Video,2009.0,Bertrand Tavernier,"Tommy Lee Jones,John Goodman,Peter Sarsgaard",2.99
525,Crazy on the Outside,4.2,576,Prime Video,2010.0,Tim Allen,"Tim Allen,Sigourney Weaver,Ray Liotta",2.99
526,Stolen From the Suburbs,4.3,281,Prime Video,2015.0,"MarVista Entertainment, Inc.","Cynthia Watros,Brooke Nevin,Sydney Sweeney",2.99
527,Home Alone,4.8,73089,Prime Video,1990.0,Chris Columbus,"Macaulay Culkin,Joe Pesci,Daniel Stern",3.79
528,The Hornet's Nest,4.3,3699,Prime Video,2014.0,"Christian Tureaud,David Salzberg","Mike Boettcher,Carlos Boettcher",2.99
529,The Resident,4.0,917,Prime Video,2011.0,Antti Jokinen,"Hilary Swank,Jeffrey Dean Morgan,Christopher Lee",2.99
530,I Still See You,4.3,1074,Prime Video,2018.0,Scott Speer,"Bella Thorne,Dermot Mulroney,Richard Harmon",2.99
531,The Note 2: Taking a Chance on Love,4.6,340,Prime Video,2009.0,Douglas Barr,"Genie Francis,Ted McGinley,George Tchortov",2.99
532,The Russia House,4.4,716,Prime Video,1990.0,Fred Schepisi,"Sean Connery,Michelle Pfeiffer,Roy Scheider",2.99
533,A Force of One,4.6,247,Prime Video,1979.0,Paul Aaron,"Jennifer O'Neill,Chuck Norris",2.99
534,Wild Oats,4.3,1182,Prime Video,2016.0,Andy Tennant,"Shirley MacLaine,Jessica Lange,Billy Connolly",2.99
535,Escape from Pretoria,4.3,2062,Prime Video,2020.0,Francis Annan,"Daniel Radcliffe,Daniel Webber,Ian Hart",2.99
536,Benny Loves You,4.1,1019,Prime Video,2019.0,Karl Holt,"Claire Cartwright,George Collie,Darren Benedict",2.99
537,The Winds of Kitty Hawk,4.0,118,Prime Video,1978.0,E.W. Swackhamer,"Michael Moriarty,David Huffman",2.99
538,The Note,4.7,524,Prime Video,2007.0,Douglas Barr,"Genie Francis,Ted McGinley,Rick Roberts,Katie Boland",2.99
539,Step Up,4.6,6022,Prime Video,2006.0,Anne Fletcher,"Channing Tatum,Jenna Dewan-Tatum,Damaine Radcliff",3.99
540,Skin In The Game,4.2,1537,Prime Video,2019.0,Adisa,"Erica Ash,Elisabeth Harnois,AngÃ©lica Celaya",3.99
541,The Family I Had,4.0,285,Prime Video,2017.0,"Katie Green,Carlye Rubin","Charity,Paris,Kyla",3.99
542,Cartoon Classics - Vol. 5: 25 Favorite Cartoons - 3 Hours,4.6,149,Prime Video,2018.0,Max Fleischer,"Bugs Bunny,Casper the Friendly Ghost,Daffy Duck",3.99
543,Tenth Man,4.3,155,Prime Video,1988.0,Jack Gold,"Anthony Hopkins,Derek Jacobi,Kristin Scott Thomas",3.99
544,The Mask of Zorro,4.8,4942,Prime Video,1998.0,Martin Campbell,"Antonio Banderas,Anthony Hopkins",3.99
545,National Lampoon's Van Wilder,4.7,1810,Prime Video,2002.0,Walt Becker,"Kal Penn,Ryan Reynolds,Tara Reid,Teck Holmes",3.99
546,Only,4.0,767,Prime Video,2020.0,Takashi Doscher,"Freida Pinto,Leslie Odom Jr.,Chandler Riggs",3.99
547,The Impossible,4.7,11041,Prime Video,2013.0,J.A. Bayona,Naomi Watts,3.99
548,The Secret In Their Eyes,4.7,1646,Prime Video,2010.0,Juan Campanella,"Ricardo Darin,Soledad Villamil,Pablo Rago",3.59
549,Wrongfully Accused,4.4,1041,Prime Video,1998.0,Pat Proft,"Leslie Nielsen,Richard Crenna,Kelly LeBrock",3.59
550,Baywatch,4.5,14540,Prime Video,2017.0,Seth Gordon,"Dwayne Johnson,Zac Efron,Alexandra Daddario",3.39
551,The Daniel Tiger Movie: Won't You Be Our Neighbor?,4.8,111,Prime Video,2018.0,"Vadim Kapridov,Tammy Langton","Laaibah Alvi,Heather Bambrick,Ted Dykstra",3.99
552,The Curse of La Llorona,4.3,20092,Prime Video,2019.0,Michael Chaves,"Linda Cardellini,Raymond Cruz,Patricia Velasquez",3.99
554,Dr. Seuss' How the Grinch Stole Christmas,4.8,94057,Prime Video,2000.0,Ron Howard,"Jim Carrey,Jeffrey Tambor,Christine Baranski",3.59
555,The Devil Comes At Night,4.6,6,Prime Video,2023.0,Scott Leaver,"Ryan Allen,Adrienne Kress,Jason Martorino,Elias Zarou",1.99
556,Saw 4 (Unrated),4.6,1321,Prime Video,2007.0,Darren Lynn Bousman,"Tobin Bell,Lyriq Bent,Costas Mandylor,Scott Patterson",3.99
557,Dear Evan Hansen,4.3,7776,Prime Video,2021.0,Stephen Chbosky,"Ben Platt,Kaitlyn Dever,Amandla Stenberg,Nik Dodani",3.99
558,Jurassic Park,4.8,41152,Prime Video,1993.0,Steven Spielberg,"Sam Neill,Laura Dern,Jeff Goldblum",3.99
559,Greenland,4.5,34289,Prime Video,2020.0,"Ric Waugh,Ric Roman Waugh","Gerard Butler,Morena Baccarin,David Denman,Hope Davis",3.99
560,Mystery 101: Pilot,4.4,223,Prime Video,2019.0,Blair Hayes,"Jill Wagner,Kristoffer Polaha",2.89
561,One Night With The King,4.6,2331,Prime Video,2006.0,Michael O. Sajbel,"Tiffany Dupont,Luke Goss,John Noble,Omar Sharif",1.99
562,Lawless,4.7,16399,Prime Video,2012.0,John Hillcoat,"Shia LaBeouf,Tom Hardy,Gary Oldman,Mia Wasikowska",3.99
563,Avatar: The Way of Water,4.6,34184,Prime Video,2022.0,James Cameron,"Sam Worthington,Zoe Saldana,Sigourney Weaver",5.99
564,House of Gucci,4.2,30562,Prime Video,2021.0,Ridley Scott,"Lady Gaga,Adam Driver,Jared Leto,Jeremy Irons",4.29
565,If I Stay,4.6,16144,Prime Video,2014.0,---,"Jamie Blackley,Mireille Enos,Chloe Grace Moretz",3.99
566,About Fate,4.3,1426,Prime Video,2022.0,Marius Vaysberg,"Emma Roberts,Thomas Mann,Britt Robertson",3.99
567,Dawning,4.5,2,Prime Video,2022.0,Young Min Kim,"Kim Ellis,Veronica Kim,VyVy Nguyen,Philicia Saunders",3.99
568,From Russia with Love,4.7,2764,Prime Video,1964.0,Terence Young,"Sean Connery,Daniela Bianchi,Pedro ArmendÃ¡riz",3.99
569,A Cape Cod Christmas,4.6,11,Prime Video,2021.0,John Stimpson,"Katie Leclerc,Brent Bailey,Cindy Lentol",3.99
571,Timecop,4.6,2594,Prime Video,1994.0,Peter Hyams,"Jean-Claude Van Damme,Mia Sara",3.99
572,Addams Family Values,4.8,9593,Prime Video,1993.0,Barry Sonnenfeld,"Anjelica Huston,Raul Julia,Christopher Lloyd",2.89
573,The Yards,4.5,10,Prime Video,2000.0,James Gray,"Mark Wahlberg,Joaquin Phoenix,Charlize Theron",3.99
574,Goldeneye,4.6,3746,Prime Video,1995.0,Martin Campbell,"Pierce Brosnan,Sean Bean,Izabella Scorupco",3.99
575,Eminem AKA,4.2,100,Prime Video,2022.0,Mike Corbera,"Eminem,Anthony 'Treach' Criss,Marc Kempf",3.99
576,"Daniel Tiger's Neighborhood: You Are Special, Daniel Tiger!",4.6,67,Prime Video,2012.0,Vadim Kapridov,"Amariah Faulkner,Ted Dykstra,Addison Holley",3.99
577,The Other Guys,4.6,10349,Prime Video,2010.0,Adam McKay,"Mark Wahlberg,Will Ferrell,Eva Mendes,Michael Keaton",3.99
578,Red (4K UHD),4.8,1999,Prime Video,2010.0,Robert Schwentke,"Bruce Willis,Helen Mirren,Morgan Freeman",3.99
580,22 Jump Street,4.6,18032,Prime Video,2014.0,"Phil Lord,Christopher Miller,Chris Miller","Jonah Hill,Channing Tatum,Peter Stormare",3.59
581,The Cutting Edge: Going For The Gold,4.5,1211,Prime Video,2006.0,Sean McNamara,"Christy Carlson Romano,Ross Thomas",3.59
582,Black Snake Moan,4.5,2202,Prime Video,2007.0,Craig Brewer,"Samuel L. Jackson,Christina Ricci",3.59
583,Catwoman,4.6,4068,Prime Video,2004.0,Pitof,"Halle Berry,Sharon Stone,Benjamin Bratt",2.89
584,All About the Benjamins,4.8,4645,Prime Video,2002.0,Kevin Bray,"Ice Cube,Mike Epps,Valarie Rae Miller,Eva Mendes",2.99
585,Shock and Awe,4.1,1129,Prime Video,2018.0,Rob Reiner,"Woody Harrelson,Rob Reiner,James Marsden,Jessica Biel",2.99
586,Ghost Story,4.5,1627,Prime Video,1981.0,John Irvin,"Fred Astaire,John Houseman,Melvyn Douglas",3.79
587,What's The Worst That Could Happen?,4.4,638,Prime Video,2001.0,Sam Weisman,"Martin Lawrence,Danny DeVito,John Leguizamo",3.79
588,The Ambush,4.0,610,Prime Video,2021.0,Pierre Morel,"Marwan Abdulla Saleh,Khalifa Al Jassem",3.79
589,Spider-Man: No Way Home (Extended Version),4.8,79317,Prime Video,2022.0,Jon Watts,"Tom Holland,Zendaya,Benedict Cumberbatch,Jamie Foxx",14.99
590,9/11: Minute by Minute,4.1,255,Prime Video,2021.0,Piers Garland,"Betty Ong,Nydia Gonzalez,George W. Bush",2.99
591,Finding Faith,4.4,184,Prime Video,2013.0,Justin Rossbacher,"Erik Estrada,Stephanie Owens,Jamie Watson",2.99
592,The Longest Month,4.3,71,Prime Video,2022.0,Kenn Christenson,Ryan K. Welch,2.99
593,Spider-Man: No Way Home (Extended Version),4.8,79317,Prime Video,2022.0,Jon Watts,"Tom Holland,Zendaya,Benedict Cumberbatch,Jamie Foxx",14.99
594,Home Alone 2: Lost in New York,4.8,33009,Prime Video,1992.0,Chris Columbus,"Macaulay Culkin,Joe Pesci,Daniel Stern",3.99
595,The Spiderwick Chronicles,4.7,5603,Prime Video,2008.0,Mark Waters,"Freddie Highmore,Mary-Louise Parker",3.99
596,The Cutting Edge: Going For The Gold,4.5,1211,Prime Video,2006.0,Sean McNamara,"Christy Carlson Romano,Ross Thomas",3.99
597,Code of the Assassins,4.2,289,Prime Video,2023.0,Daniel Lee,"Shaofeng Feng,Chen Jen,Norman Chu",3.99
598,Hands Up,4.0,171,Prime Video,2021.0,Chuck Whitman,"LaRoyce Hawkins,Jamall Woodard,Kris Lofton",3.99
600,The Last Samurai,4.8,10399,Prime Video,2003.0,Edward Zwick,"Tom Cruise,Timothy Spall,Ken Watanabe,Billy Connolly",3.99
601,Black Snake Moan,4.5,2202,Prime Video,2007.0,Craig Brewer,"Samuel L. Jackson,Christina Ricci",3.99
602,What's The Worst That Could Happen?,4.4,638,Prime Video,2001.0,Sam Weisman,"Martin Lawrence,Danny DeVito,John Leguizamo",3.99
603,The Dirty 3rd: Next Generation,4.4,167,Prime Video,2023.0,Nahala Johnson,"Dakarai Henderson,Clifton Powell,Christopher Dudley",4.99
604,Back in the Day,4.2,62,Prime Video,2005.0,James Hunter,"Joe Morton,Ja Rule,Ving Rhames,Tia Carrere",4.99
605,Harry Potter and the Goblet of Fire,4.9,57533,Prime Video,2005.0,Mike Newell,"Daniel Radcliffe,Emma Watson,Rupert Grint",3.79
606,Train to Busan,4.8,8115,Prime Video,2016.0,Yeon Sang-ho,"Gong Yoo,Ma Dong-Seok,Jung Yu-mi,Kim Soo-Ahn",3.79
607,Bad Times at The El Royale,4.4,8805,Prime Video,2018.0,Drew Goddard,"Jeff Bridges,Cynthia Erivo,Dakota Johnson,Jon Hamm",3.79
608,Burning Bright,4.4,306,Prime Video,2010.0,Carlos Brooks,"Garret Dillahunt,Meat Loaf,Mary Rachel Dudley",3.79
609,About My Father,4.1,3218,Prime Video,2023.0,Laura Terruso,"Sebastian Maniscalco,Robert De Niro,Leslie Bibb",5.99
610,Clueless,4.8,18114,Prime Video,1995.0,Amy Heckerling,"Alicia Silverstone,Stacey Dash,Brittany Murphy",3.79
611,How to Lose a Guy in 10 Days,4.8,14012,Prime Video,2003.0,Donald Petrie,"Kate Hudson,Matthew McConaughey,Adam Goldberg",3.99
612,It,4.5,62722,Prime Video,2017.0,Andy Muschietti,"Bill SkarsgÃ¥rd,Jaeden Lieberher,Finn Wolfhard",3.99
613,Sabotage,4.3,2211,Prime Video,2014.0,David Ayer,"Arnold Schwarzenegger,Sam Worthington",3.79
614,The Equalizer 2,4.7,58673,Prime Video,2018.0,Antoine Fuqua,"Denzel Washington,Pedro Pascal,Ashton Sanders",3.59
615,Forsaken (2014),4.5,4628,Prime Video,2016.0,Jon Cassar,"Esther Purves-Smith,Kiefer Sutherland",3.59
616,Happy People: A Year in the Taiga,4.5,2211,Prime Video,2013.0,"Werner Herzog,Dmitry Vasyukov",Werner Herzog,3.59
617,Back in the Day,4.2,62,Prime Video,2005.0,James Hunter,"Joe Morton,Ja Rule,Ving Rhames,Tia Carrere",3.59
618,Mission: Impossible - Rogue Nation,4.6,29939,Prime Video,2015.0,Christopher McQuarrie,"Tom Cruise,Jeremy Renner,Simon Pegg,Rebecca Ferguson",3.39
619,Puss in Boots,4.7,4109,Prime Video,2011.0,Chris Miller,"Antonio Banderas,Salma Hayek,Zach Galifianakis",3.79
620,The Librarian: Quest for the Spear,4.6,1705,Prime Video,2004.0,Peter Winther,"Noah Wyle,Sonya Walger,Bob Newhart",3.79
621,Untouchables,4.7,8935,Prime Video,1987.0,Brian De Palma,"Kevin Costner,Robert De Niro,Andy Garcia,Sean Connery",3.79
622,Love In Bloom,4.3,26,Prime Video,2022.0,Rogue Rubin,"Susie Abromeit,Julian Haig,Monette Lee,Steven Tandy",3.79
623,Maya The Bee 3: The Golden Orb,4.6,101,Prime Video,2021.0,Noel Cleary,"Benson Jack Anthony,Frances Berry",3.79
624,My Husband's Double Life,4.2,216,Prime Video,2002.0,Alan Metzger,"Michael Cera,Margaret Colin,Jay O. Sanders,Will Estes",3.79
625,Love In Bloom,4.3,26,Prime Video,2022.0,Rogue Rubin,"Susie Abromeit,Julian Haig,Monette Lee,Steven Tandy",3.79
626,Tesla,4.0,69,Prime Video,2016.0,James E. Dunford,Michael Murphy,3.99
627,Tyler Perry's Why Did I Get Married Too?,4.7,5205,Prime Video,2010.0,Tyler Perry,"Tyler Perry,Janet Jackson",3.99
628,Freddy vs. Jason,4.5,8564,Prime Video,2003.0,Ronny Yu,"Robert Englund,Ken Kirzinger,Kelly Rowland",3.99
629,County Line,4.4,1015,Prime Video,2017.0,Shea Sizemore,"Tom Wopat,Jeff Fahey,Patricia Richardson",3.99
630,Teenage Mutant Ninja Turtles: Out of the Shadows,4.6,12907,Prime Video,2016.0,Dave Green,"Megan Fox,Will Arnett,Laura Linney,Stephen Amell",3.39
631,Need For Speed (Theatrical),4.7,13436,Prime Video,2014.0,Scott Waugh,"Aaron Paul,Dominic Cooper,Imogen Poots",3.79
632,Anna,4.3,13920,Prime Video,2019.0,Luc Besson,"Sasha Luss,Luke Evans,Cillian Murphy,Helen Mirren",3.79
634,Family Camp,4.2,2951,Prime Video,2022.0,Brian Cates,"Tommy Woodard,Eddie James,Leigh-Allyn Baker",3.79
635,Things To Do In Denver When You're Dead,4.4,1023,Prime Video,1995.0,Gary Fleder,"Andy Garcia,Treat Williams,Bill Nunn,Gabrielle Anwar",3.99
636,The Librarian: Quest for the Spear,4.6,1705,Prime Video,2004.0,Peter Winther,"Noah Wyle,Sonya Walger,Bob Newhart",3.99
637,Happy People: A Year in the Taiga,4.5,2211,Prime Video,2013.0,"Werner Herzog,Dmitry Vasyukov",Werner Herzog,3.99
638,12 Feet Deep: Trapped Sisters,4.0,3650,Prime Video,2017.0,Matt Eskandari,"Alexandra Park,Nora-Jane Noone,Diane Farr,Tobin Bell",0.89
639,Woman Of Straw,4.4,228,Prime Video,1964.0,"Dearden,Basil","Gina Lollobrigida,Ralph Richardson,Sean Connery",0.89
640,Take Care,4.0,113,Prime Video,2014.0,Liz Tuccillo,"Leslie Bibb,Kevin Curtis,Nadia Dajani",0.89
641,Wildflower,4.6,327,Prime Video,1991.0,Diane Keaton,"Reese Witherspoon,Patricia Arquette,Beau Bridges",0.89
642,Proud Mary,4.6,4562,Prime Video,2018.0,Babak Najafi,"Taraji P. Henson,Billy Brown,Jahi Di'Allo Winston",3.89
643,Steven Michael Quezada: The New Mexican,4.1,11,Prime Video,2022.0,Brian Volk Weiss,Steven Michael Quezada,3.89
644,The Equalizer 2,4.7,58673,Prime Video,2018.0,Antoine Fuqua,"Denzel Washington,Pedro Pascal,Ashton Sanders",3.59
645,Daniel Visits a New Neighborhood,4.8,107,Prime Video,2022.0,Tammy Langton,"Asher Bolduc-Theron,Heather Bambrick,Ted Dykstra",1.99
646,Suicide Squad,4.7,7649,Prime Video,2016.0,David Ayer,"Will Smith,Jared Leto,Margot Robbie,Viola Davis",1.99
647,Bodies Bodies Bodies,4.0,2841,Prime Video,2022.0,Not Specified,"Amandla Stenberg,Pete Davidson,Lee Pace",4.69
648,John Tucker Must Die,4.6,4132,Prime Video,2006.0,Betty Thomas,"Jesse Metcalfe,Brittany Snow,Sophia Bush",3.79
649,Twisted,4.4,841,Prime Video,2004.0,Philip Kaufman,"Ashley Judd,Samuel L. Jackson,Andy Garcia",3.29
650,Along with the Gods: The Two Worlds,4.6,1249,Prime Video,2017.0,KIM Yong-hwa,"HA Jung-woo,CHA Tae-hyun,JU Ji-hoon,KIM Hyang-gi",3.29
651,The Conjuring: The Devil Made Me Do It,4.5,23522,Prime Video,2021.0,Michael Chaves,"Patrick Wilson,Vera Farmiga,Ruairi O'Connor",3.29
652,Bent,4.0,1035,Prime Video,2018.0,"Robert ""Bobby"" Moresco","Crime,Thriller",3.29
653,Everything Everywhere All At Once,4.4,34015,Prime Video,2022.0,"Daniel Scheinert,Dan Kwan","Michelle Yeoh,Stephanie Hsu,Ke Huy Quan,Jenny Slate",3.99
654,The Next Three Days,4.5,3266,Prime Video,2010.0,Paul Haggis,"Russell Crowe,Elizabeth Banks,Brian Dennehy",3.79
655,Sabotage,4.3,2211,Prime Video,2014.0,David Ayer,"Arnold Schwarzenegger,Sam Worthington",3.79
656,Up in Smoke,4.7,7776,Prime Video,1978.0,Lou Adler,"Cheech Marin,Thomas,Edie Adams,Stacy Keach",3.79
657,Tomorrow Is Forever,4.7,379,Prime Video,1946.0,"Pichel,Irving","Claudette Colbert,Orson Welles,George Brent",3.79
658,Finders Keepers,4.2,282,Prime Video,2014.0,Alexander Yellen,"Jaime Pressly,Patrick Muldoon,Tobin Bell",3.79
659,MFKZ,4.5,764,Prime Video,2018.0,"Guillaume ""Run"" Renard,Shojiro Nishimi","Michael Chiklis,Giancarlo Esposito,Dascha Polanco,RZA",3.99
660,Respect,4.5,32179,Prime Video,2021.0,Liesl Tommy,"Jennifer Hudson,Forest Whitaker,Marlon Wayans",3.99
661,For Your Eyes Only,4.6,2248,Prime Video,1981.0,John Glen,"Roger Moore,Carole Bouquet,Topol,Lynn-Holly Johnson",3.99
662,Catwoman,4.6,4068,Prime Video,2004.0,Pitof,"Halle Berry,Sharon Stone,Benjamin Bratt",2.89
663,The Green Hornet,4.3,2671,Prime Video,2011.0,Michel Gondry,"Edward James Olmos,Seth Rogen,David Harbour",2.89
665,Fatal Attraction,4.7,4699,Prime Video,1987.0,Adrian Lyne,"Michael Douglas,Glenn Close,Anne Archer,Ellen Latzen",2.89
666,The Pianist,4.7,5365,Prime Video,2003.0,Roman Polanski,"Adrien Brody,Emilia Fox,Michal Zebrowski,Ed Stoppard",9.99
667,Beethoven,4.7,4792,Prime Video,1992.0,Brian Levant,"Nicholle Tom,Christopher Castile,Sarah Rose Karr",3.79
668,The Firm,4.6,1742,Prime Video,1993.0,Sydney Pollack,"Tom Cruise,Jeanne Tripplehorn,Gene Hackman",3.99
669,The Day of the Jackal,4.7,2723,Prime Video,1973.0,Fred Zinnemann,"Edward Fox,Michel Lonsdale,Tony Britton",3.79
670,The Truman Show,4.7,14547,Prime Video,1998.0,Peter Weir,"Ed Harris,Holland Taylor,Jim Carrey,Laura Linney",3.79
671,Lansky,4.1,5066,Prime Video,2021.0,Eytan Rockaway,"Harvey Keitel,Sam Worthington,Annasophia Robb",2.99
672,X,4.0,8240,Prime Video,2022.0,Ti West,"Mia Goth,Jenna Ortega,Brittany Snow,Kid Cudi",3.59
673,10 Cloverfield Lane,4.4,9513,Prime Video,2016.0,Dan Trachtenberg,"John Goodman,Mary Elizabeth Winstead",3.99
674,Intersection,4.4,565,Prime Video,1994.0,Mark Rydell,"Richard Gere,Sharon Stone,Lolita Davidovich",3.79
675,Blade,4.7,7841,Prime Video,1998.0,Stephen Norrington,"Donal Logue,N'bushe Wright,Kris Kristofferson",3.79
676,The Way Home,4.7,1147,Prime Video,2016.0,Lance W Dreesen,"Pierce Gagnon,Dean Cain,Tom Nowicki,Brett Rice",3.79
677,9/11: Minute by Minute,4.1,255,Prime Video,2021.0,Piers Garland,"Betty Ong,Nydia Gonzalez,George W. Bush",2.99
678,The Crow: Salvation,4.5,267,Prime Video,2000.0,Bharat Nalluri,"Kristen Dunst,Walton Goggins",2.99
679,Red (4K UHD),4.8,1999,Prime Video,2010.0,Robert Schwentke,"Bruce Willis,Helen Mirren,Morgan Freeman",3.99
680,Christmas with Felicity,4.2,5,Prime Video,2021.0,Jack C. Newell,"Sarah Brooks,Herb Porter,Saige Chaseley",3.99
681,That Awkward Moment,4.6,4582,Prime Video,2014.0,Tom Gormican,"Zac Efron,Josh Pais,Michael B. Jordan,Imogen Poots",3.99
682,Jules,4.5,136,Prime Video,2023.0,Marc Turtletaub,"Ben Kingsley,Jane Curtin,Harriet Samson Harris",5.99
683,Zombieland: Double Tap,4.5,45087,Prime Video,2019.0,Ruben Fleischer,"Woody Harrelson,Jesse Eisenberg,Emma Stone",3.59
684,Mad Max,4.5,4880,Prime Video,1980.0,George Miller,"Mel Gibson,Steve Bisley",3.59
685,Mission: Impossible - Fallout,4.6,23398,Prime Video,2018.0,Christopher McQuarrie,"Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg",3.79
686,Rango,4.7,7251,Prime Video,2011.0,Gore Verbinski,"Johnny Depp,Timothy Olyphant,Abigail Breslin",3.99
687,Back to School,4.7,2017,Prime Video,1986.0,"Metter,Alan","Rodney Dangerfield,Sally Kellerman,Burt Young",3.49
688,That Awkward Moment,4.6,4582,Prime Video,2014.0,Tom Gormican,"Zac Efron,Josh Pais,Michael B. Jordan,Imogen Poots",3.49
689,Rango,4.7,7251,Prime Video,2011.0,Gore Verbinski,"Johnny Depp,Timothy Olyphant,Abigail Breslin",3.99
690,The Nun II Extended Preview,5.0,1,Prime Video,2023.0,Michael Chaves,"Taissa Farmiga,Jonas Bloquet,Storm Reid",3.99
691,X,4.0,8240,Prime Video,2022.0,Ti West,"Mia Goth,Jenna Ortega,Brittany Snow,Kid Cudi",3.59
692,Cobweb,4.0,1760,Prime Video,2023.0,Samuel Bodin,"Lizzy Caplan,Woody Norman,Cleopatra Coleman",5.99
693,Batman (1989),4.7,11102,Prime Video,1989.0,Tim Burton,"Michael Keaton,Jack Nicholson,Kim Basinger",2.99
694,Godzilla vs. Kong,4.6,40533,Prime Video,2021.0,Adam Wingard,"Alexander SkarsgÃ¥rd,Millie Bobby Brown,Rebecca Hall",2.99
695,According To Greta,4.2,220,Prime Video,2009.0,Nancy Bardawil,"Hilary Duff,Ellen Burstyn,Michael Murphy,Evan Ross",2.99
